0,1	2,3,4
445,3,97	444,115,98
442,5	445,7
6,442	445,3
444,3	6,441
441,5	444,7
116,97	98,446
9,116	10,11,446
21,116	10,22,446
6,447,170	20,446
18,448,13	447,182
449,3	448,17
448,5	18,449
449,115,5	18,21,17
449,5,66,3	18,67,21,17
450,3	115,451
6,18,448,7	10,5,182,451,3
21,5	9,7
11,21	22,9
129,239,3	452,130
453,9	10,452,11
5,454	455,7
455,133,5	18,456,17
455,133,281	18,456,285
456	457,13
457,5	18,458
458,3	457,17
458,5	7,1
30,459,31,460,28	461,462,463
13,5,464	6,7,460
465,139	466,464
465,158	467,464
468,113	465,13,1
461,5	18,469
469,28	17,28
28	28
459,31,28	462,463,28
28	28
459,31,28	462,463,28
85,3	470
470,3	29,471
471	472
473,3	472
473,296	474,475
475	476,477
476,5	17,478
479,67,5	6,7,353
130,21	10,22,353
130,9	10,11,353
21,353	10,22,480
9,353	10,11,480
51,130	30,53,480
481,130	30,482,480
476,483	479,3
478,483	18,479
29,130,5	6,7,303
484,3	10,303
129,21	22,484
129,9	484,11
30,31,129	31,142
142,9	10,129,11
142,21	10,22,129
129,357,3	485,130
10,129,11,351	130,9,352
10,486,5	6,484,7
487,21	10,22,488
487,9	10,11,488
489	490,170
491,3	492,493
493	494,3
494	495,496
495,97	497,498,170
459,495	497,498,462,463
497,499	500,501
497,502	503,501
504,501	30,505
494,459	506,507
507,21	10,508,22
30,509	508,504
510,5	511,512
513,5	514,7
513,85	514,83
514,85	18,515
516,3	6,517
448,518	10,516,451
519	520
10,11,28	520,9,28
67,5,28	18,17,28
521,321	517,515
202	522
522,14	523,13
523	27,524
525,3	524
5,1,525	18,17,526
526	527,3
527,3	528,1
529,528	18,13,530
531,528	18,532,13
27,533	202
139,530	140,534
532,139	140,535
379,28	18,28
536	28
537	28
538	28
10,539,97	115,540,98
158	541,13
541,3,97	115,542,98
116	365,13
137,132	102,138
14,133	67,153
14,133	543,153
2,5,331	6,7,278
365,453,5	18,17,454
454,3	365,453
193,21,3	10,22,544
544,21	10,545,22
546,14	545,67
546,21	10,22,547
279,548	6,443,170
5,549	37,7
37,3	6,549
549,512	37,512
7,549	37,17
550,5	7,352
3,352	6,550
6,550	551,552
9,553	10,551,11
21,553	10,551,22
553,3	554
555	556,13
93,21	10,556,22
93,9	10,556,11
368,3	6,557
5,557	368,7
558,355,5	6,559,7
559,3	558,355
71,3	75,336
560,3	6,89
561,3	562,148
290,19	193,15
19,15	193,40
289,5	17,182
90,28	4,28
90	117,3
92,28	117,28
92,5,1	6,7,108
92,85,1	6,83,108
92,99,1	6,100,108
102,108	92,2
8,9	10,13,14,11
8,21	10,13,22,14
8	563,3
0	563,3
564	13,565
315,3	148,348
6,315	148,312
148,3	115,313
566,5	316,7
566,3	6,567
567,5	566,7
567,3	115,568
6,568	552,313
5,569	324,7
570,5	7,569
569,3	6,570
6,570	552,323
18,318	320,182
473	571,512
6,567	148,552
48,3	18,47
18,47	346,182
572,5	342,7
342,3	6,572
85,28	18,28
344,5	7,343
5,351	344,7
5,66,28	18,17,28
127,21,3	10,102,22
127,9,3	10,102,11
9,573	10,127,11
21,573	10,127,22
31,573	127,30,31
31,573	127,30,31
574,5	7,32
574,9	10,575,11
574,172	575,173
439,28	576,28
577,439	578,576
439,9	10,11,576
93,5	25,7
57,5	36,7
35	15
94	556
0	8
302,484,3	304,130
14,116	67,4
14,113	27,67
113,91	27,128
21,113,3	10,27,115,22
113,4	27,116
579,3	115,580
558,150	581,561
206,119	19,582,3
533,380	18,583
13,584	583
584,11,97	585,9,3
139,585	140,586
586,97	587,3
587,139	588,140
10,588,11,97	589,9,3
589,139	140,577
549	77
64,3	590
6,64	591,439
28	28
21,557	10,22,592
9,557	10,11,592
5,592	7,20
10,154,151,28	152,102,133,28
593,21	10,22,594
595,3	596
306,5,331	6,597,7
597	307
206	19,598
119,598	582,3
102,5,1	6,2,7
102,5,1	18,2,17
134,3	27,115,138
119,138	134,3
138,151	102,134
6,2	103,1
3,28	54,28
599,3	409,549
600	601,3
602,3	6,294
294,5	602,7
602,28	152,603,28
604,5	6,404,7
225,150	558,561
435,605	6,606,170
33	29,605
607,21	10,22,438
607,9	10,11,438
139,85,28	608,609,141,28
608,3	18,610
46,28	336,28
611	612,3
612,3	613
10,13,22,136	613,21
614,3	115,364
615,3	616,617
346,607,97	615,438
9,618	10,11,364
37,46	619,336
619,3	6,620
620,3	590
6,620	591,439
190,21	10,191,22
621,28	622,28
622,21	10,22,623
624	19,20
625	27,19
626,5	625,7
627	626,3
623,5	624,7
623,281	624,337
623,48	624,336
623,99	624,100
6,28	38,28
628,21,3	30,143,22
628,9,3	30,143,11
628,3,97	143,98
629,97	628,98
629,21	10,628,22
629,9	10,628,11
630,28	631,28
631,3	632
10,632	633,13
39	633
113,28	465,13,28
3,28	634,28
10,11,28	9,28
28	3,28
10,11,28	9,28
28	13,28
10,11,28	9,28
28	3,28
10,11,28	9,28
28	13,28
10,11,635	461,9,3
139,28	140,28
473,3	636,127,512
637,481	30,482,638
639,115,5	6,638,7,3
636	639,115
640,21	10,111,22
640,9	10,111,11
409	62
641	227,91
149	642,138
369	127,115
306,139	643,644,29,609,141
643,5	645,7
646,645	18,647
648,3	6,647
647,5	648,7
648,5	649,7
649,3	6,648
648,7	649,17
650,5	647,7
647,3	6,650
5,651	643,7
652,5	646,7
645,653	18,647,13
654,279,28	170,655,28
28	17,28
5,28	18,28
133,28	113,28
139,211,28	656,654,609,141,28
6,657	312,450
657,5	658,7
21,3	658,17
658,5	18,21
6,659	10,312,451
2,28	13,1,28
21,660	10,22,55
393	33
661,3	102,178
662,3	92,67
663,21,3	10,22,662
664,14	67,663
170,665	664,666,13
180,108	665,1
225,3,97	667,115,98
225,14	667,67
225,27	667,113
667,9,3	10,112,11
667,21,3	10,112,22
130,21,128	10,115,13,22,129
3,28	668,28
668,3	669
670,5	671,7
671,672	673,3
14,674	67,136
67,5,674	6,7,675
5,675,128	6,7,676
677,5	678,7
6,106	678,1
31	557,28
28	369,28
5,679,28	18,17,28
680,681	682,683
681	683
683,3	590
684,3	64
610,31	31,685
685,5	18,686
686,687	688,17,3
30,689	690,504
691	496,692
693,5	521,512
10,694,170,21	695,22
695,11	10,694,170,9
505,381,3	18,696
170,697,698	699,697,700
701,3	77,439
